player_id,full_name,first_name,last_name,position,team,team_abbr,fantasy_positions,active,status,age,height,weight,college,years_exp,injury_status,injury_notes,injury_body_part,practice_description,practice_participation,birth_city,birth_state,birth_country,birth_date,team_changed_at,news_updated,yahoo_id,opta_id,pandascore_id,number,rotoworld_id,sportradar_id,search_rank,search_full_name,competitions,metadata,sport,search_last_name,fantasy_data_id,oddsjam_id,high_school,depth_chart_order,hashtag,depth_chart_position,gsis_id,espn_id,search_first_name,rotowire_id,swish_id,stats_id,injury_start_date,full_name_clean
3218,A'Shawn Robinson,A'Shawn,Robinson,DT,CAR,,['DL'],True,Active,30.0,75,320.0,Alabama,9.0,,,,,,,,,1995-03-21,,1753921233885.0,29280.0,,,94.0,,3f44e069-a9c7-40dc-bfa9-cd403ee9cdbd,691.0,ashawnrobinson,[],"{'channel_id': '1113708882653376512', 'rookie_year': '2016'}",nfl,robinson,17979.0,24C957A49E09,Arlington Heights (TX),2.0,#ashawnrobinson-NFL-CAR-94,RDE,00-0032889,3054857.0,ashawn,11162.0,750852.0,,,a'shawn robinson
8320,A.Hansford Hansford,A.Hansford,Hansford,LB,,,['LB'],True,Active,,75,240.0,Texas A&M,1.0,,,,,,,,,,,,,,,0.0,,ef4739d0-d311-11ec-8b77-45b1765fd110,9999999.0,ahansfordhansford,[],"{'channel_id': '1116853482167468032', 'source_id': '734e4e4f-0e69-4522-b7d5-17f4320cf1d8', 'years_exp_shift': '1'}",nfl,hansford,,,St. John's College (DC),,#ahansfordhansford-NFL-FA-0,,,,ahansford,,922133.0,,,a.hansford hansford
1674,A.J. Bouye,A.J.,Bouye,CB,CAR,,['DB'],True,Active,30.0,72,191.0,UCF,9.0,,,,,,,,,1991-08-16,,1647276914028.0,27337.0,,,24.0,9104.0,4d6c923d-4776-4558-a30f-739dc4070ffb,9999999.0,ajbouye,[],"{'channel_id': '1116852754644467712', 'injury_override_regular_2020_5': 'COV'}",nfl,bouye,15478.0,,Tucker (GA),,#ajbouye-NFL-CAR-24,,00-0030228,16562.0,aj,9070.0,514238.0,,,a.j. bouye
5859,A.J. Brown,A.J.,Brown,WR,PHI,,['WR'],True,Active,28.0,73,226.0,Ole Miss,6.0,Questionable,,Hamstring,,,,,,1997-06-30,,1755897332066.0,31883.0,,,11.0,13946.0,a9e580f2-1fbe-46fb-887c-c84089b507e4,19.0,ajbrown,[],"{'channel_id': '1113708717729148928', 'injury_override_regular_2024_3': 'Out', 'rookie_year': '2019'}",nfl,brown,21042.0,828EC99117A1,Starkville (MS),1.0,#ajbrown-NFL-PHI-11,LWR, 00-0035676,4047646.0,aj,13432.0,944826.0,944826.0,,a.j. brown
2372,A.J. Cann,A.J.,Cann,OL,,,"['OG', 'OL']",True,Active,31.0,75,320.0,South Carolina,8.0,,,,,,,,,1991-10-03,,1678810252061.0,28455.0,,,60.0,10466.0,56657521-aabb-4c6b-a6d1-9b809e6495b6,9999999.0,ajcann,[],{'channel_id': '1116852799267667968'},nfl,cann,16828.0,,Bamberg-Ehrhardt (SC),,#ajcann-NFL-FA-60,,00-0032255,2516325.0,aj,10267.0,553013.0,,,a.j. cann
2503,A.J. Derby,A.J.,Derby,TE,,,['TE'],False,Inactive,30.0,77,240.0,Arkansas,7.0,,,,,,,,,1991-09-20,,1567218357881.0,28590.0,,,81.0,10576.0,f0805b80-e01c-46fd-99a6-dae1134fb764,9999999.0,ajderby,[],,nfl,derby,16962.0,,Iowa City (IA),,#ajderby-NFL-FA-81,,00-0031609,3046413.0,aj,10484.0,,543797.0,,a.j. derby
6828,A.J. Dillon,A.J.,Dillon,RB,PHI,,['RB'],True,Active,27.0,72,247.0,Boston College,5.0,,,,,,,,,1998-05-02,,1755903033304.0,32732.0,,,29.0,,e10bfeb8-ea01-47bc-bfa8-45f6dcbf71b3,313.0,ajdillon,[],"{'channel_id': '1113708802391175168', 'rookie_year': '2020'}",nfl,dillon,21802.0,0ECCBDDAB564,Lawrence Academy (MA),3.0,#ajdillon-NFL-PHI-29,RB,,4239934.0,aj,14370.0,1060545.0,,,a.j. dillon
6802,A.J. Epenesa,A.J.,Epenesa,DE,BUF,,['DL'],True,Active,26.0,78,260.0,Iowa,5.0,,,,,,,,,1998-09-15,,1753631406250.0,32724.0,,,57.0,,3fa3a270-f8b2-4d53-a265-84bc928af5c5,1017.0,ajepenesa,[],"{'channel_id': '1113708755565965312', 'rookie_year': '2020'}",nfl,epenesa,21881.0,4373AA4A99DA,Edwardsville (IL),2.0,#ajepenesa-NFL-BUF-57,RDE,,4240585.0,aj,14501.0,1059205.0,,,a.j. epenesa
1646,A.J. Francis,A.J.,Francis,DT,,,['DL'],False,Inactive,30.0,"6'5""",330.0,Maryland,7.0,,,,,,,,,1990-05-07,,1535833806049.0,27245.0,,,65.0,,38717cb0-9a15-4a89-b86a-c57ff0cef0cc,9999999.0,ajfrancis,[],,nfl,francis,15389.0,,Gonzaga College (DC),,#ajfrancis-NFL-FA-65,,00-0029972,16398.0,aj,9113.0,,464482.0,,a.j. francis
830,A.J. Green,A.J.,Green,WR,,,['WR'],True,Active,34.0,76,207.0,Georgia,12.0,,,,,,,,,1988-07-31,,1675728052154.0,24791.0,,,18.0,6438.0,c9701373-23f6-4058-9189-8d9c085f3c49,216.0,ajgreen,[],{'channel_id': '1116853480875622400'},nfl,green,12845.0,,Summerville (SC),,#ajgreen-NFL-FA-18,,00-0027942,13983.0,aj,7241.0,458093.0,458093.0,,a.j. green
261,A.J. Hawk,A.J.,Hawk,LB,,,['LB'],False,Inactive,36.0,"6'1""",240.0,Ohio State,14.0,,,,,,,,,1984-01-06,,,7754.0,,,54.0,,af8457a7-6cbe-4e2f-8bdf-2a34cba56f40,9999999.0,ajhawk,[],,nfl,hawk,6506.0,,Centerville (OH),,#ajhawk-NFL-FA-54,,,9591.0,aj,4813.0,,,,a.j. hawk
