player_id,full_name,first_name,last_name,position,team,team_abbr,fantasy_positions,active,status,age,height,weight,college,years_exp,injury_status,injury_notes,injury_body_part,practice_description,practice_participation,birth_city,birth_state,birth_country,birth_date,team_changed_at,full_name_clean
3218,A'Shawn Robinson,A'Shawn,Robinson,DT,CAR,,['DL'],True,Active,30.0,75,320.0,Alabama,9.0,,,,,,,,,1995-03-21,,a'shawn robinson
8320,A.Hansford Hansford,A.Hansford,Hansford,LB,,,['LB'],True,Active,,75,240.0,Texas A&M,1.0,,,,,,,,,,,a.hansford hansford
1674,A.J. Bouye,A.J.,Bouye,CB,CAR,,['DB'],True,Active,30.0,72,191.0,UCF,9.0,,,,,,,,,1991-08-16,,a.j. bouye
5859,A.J. Brown,A.J.,Brown,WR,PHI,,['WR'],True,Active,28.0,73,226.0,Ole Miss,6.0,Questionable,,Hamstring,,,,,,1997-06-30,,a.j. brown
2372,A.J. Cann,A.J.,Cann,OL,,,"['OG', 'OL']",True,Active,31.0,75,320.0,South Carolina,8.0,,,,,,,,,1991-10-03,,a.j. cann
2503,A.J. Derby,A.J.,Derby,TE,,,['TE'],False,Inactive,30.0,77,240.0,Arkansas,7.0,,,,,,,,,1991-09-20,,a.j. derby
6828,A.J. Dillon,A.J.,Dillon,RB,PHI,,['RB'],True,Active,27.0,72,247.0,Boston College,5.0,,,,,,,,,1998-05-02,,a.j. dillon
6802,A.J. Epenesa,A.J.,Epenesa,DE,BUF,,['DL'],True,Active,26.0,78,260.0,Iowa,5.0,,,,,,,,,1998-09-15,,a.j. epenesa
1646,A.J. Francis,A.J.,Francis,DT,,,['DL'],False,Inactive,30.0,"6'5""",330.0,Maryland,7.0,,,,,,,,,1990-05-07,,a.j. francis
830,A.J. Green,A.J.,Green,WR,,,['WR'],True,Active,34.0,76,207.0,Georgia,12.0,,,,,,,,,1988-07-31,,a.j. green
261,A.J. Hawk,A.J.,Hawk,LB,,,['LB'],False,Inactive,36.0,"6'1""",240.0,Ohio State,14.0,,,,,,,,,1984-01-06,,a.j. hawk
3758,A.J. Hendy,A.J.,Hendy,SS,,,['DB'],False,Inactive,28.0,72,208.0,Maryland,6.0,,,,,,,,,1993-04-08,,a.j. hendy
7074,A.J. Hines,A.J.,Hines,RB,,,['RB'],False,Inactive,,"5'11""",237.0,Duquesne,0.0,,,,,,,,,,,a.j. hines
5160,A.J. Howard,A.J.,Howard,SS,,,['DB'],True,Active,26.0,71,203.0,Appalachian State,4.0,,,,,,,,,1995-12-23,,a.j. howard
4912,A.J. Hughes,A.J.,Hughes,P,,,['P'],True,Active,28.0,72,198.0,Virginia Tech,5.0,,,,,,,,,1993-12-07,,a.j. hughes
4732,A.J. Jefferson,A.J.,Jefferson,DE,,,['DL'],True,Active,28.0,75,280.0,Mississippi State,5.0,,,,,,,,,1993-03-03,,a.j. jefferson
1547,A.J. Klein,A.J.,Klein,LB,,,['LB'],True,Active,32.0,73,240.0,Iowa State,11.0,,,,,,,,,1991-07-30,,a.j. klein
5662,A.J. Moore,A.J.,Moore,DB,,,['DB'],True,Active,27.0,71,200.0,Ole Miss,5.0,,,,,,,,,1995-12-15,,a.j. moore
6664,A.J. Ouellette,A.J.,Ouellette,RB,,,['RB'],True,Active,26.0,69,209.0,Ohio,3.0,,,,,,,,,1995-07-20,,a.j. ouellette
6373,A.J. Richardson,A.J.,Richardson,WR,,,['WR'],True,Active,26.0,72,212.0,Boise State,3.0,,,,,,,,,1995-06-02,,a.j. richardson
7918,A.J. Rose,A.J.,Rose,RB,,,['RB'],True,Active,24.0,73,212.0,Kentucky,1.0,,,,,,,,,1997-10-14,,a.j. rose
2558,A.J. Tarpley,A.J.,Tarpley,LB,,,['LB'],False,Inactive,28.0,"6'2""",242.0,Stanford,5.0,,,,,,,,,1992-04-30,,a.j. tarpley
6836,A.J. Terrell,A.J.,Terrell,CB,ATL,,['DB'],True,Active,26.0,73,200.0,Clemson,5.0,,,,,,,,,1998-09-23,,a.j. terrell
8719,A.J. Thomas,A.J.,Thomas,DB,,,['DB'],True,Active,24.0,74,215.0,Western Michigan,2.0,,,,,,,,,1999-09-18,,a.j. thomas
11935,A.J. Woods,A.J.,Woods,CB,,,['DB'],True,Active,24.0,69,186.0,Pittsburgh,1.0,,,,,,,,,2001-03-28,,a.j. woods
1011,A.Q. Shipley,A.Q.,Shipley,C,,,['OL'],True,Inactive,35.0,73,307.0,Penn State,13.0,,,,,,,,,1986-05-22,,a.q. shipley
6580,A.T. Hall,A.T.,Hall,OT,,,['OL'],True,Active,25.0,76,303.0,Stanford,3.0,,,,,,,,,1996-01-26,,a.t. hall
10863,A.T. Perry,A.T.,Perry,WR,DEN,,['WR'],True,Active,25.0,77,205.0,Wake Forest,2.0,,,,,,,,,1999-10-26,,a.t. perry
8505,AJ Arcuri,AJ,Arcuri,OT,LAR,,['OT'],True,Active,28.0,79,308.0,Michigan State,3.0,,,,,,,,,1997-08-13,,aj arcuri
11603,AJ Barner,AJ,Barner,TE,SEA,,['TE'],True,Active,23.0,78,251.0,Michigan,1.0,,,,,,,,,2002-05-03,,aj barner
6555,AJ Cole,AJ,Cole,P,LV,,['P'],True,Active,29.0,76,220.0,North Carolina State,6.0,,,,,,,,,1995-11-27,,aj cole
